model,version,year,km,color,price,location
Giulietta,1.6 JTD Distinctive,2015,126000,Beyaz,510000,İstanbul Kartal
Giulietta,1.6 JTD Distinctive,2011,249000,Siyah,385000,Antalya Konyaaltı
159,1.9 JTD Distinctive,2006,271000,Gümüş Gri,335000,Bursa Mustafakemalpaşa
156,2.0 TS Distinctive,2002,208000,Gümüş Gri,285000,Bursa Osmangazi
Giulietta,1.6 JTD Distinctive,2013,164500,Siyah,460000,İstanbul Küçükçekmece
146,1.6 L,1996,300000,Şampanya,113000,Eskişehir Odunpazarı
Giulietta,1.6 JTD Super TCT,2018,157000,Gri,652500,Antalya Kepez
Giulietta,1.6 JTD Progression,2016,168000,Kırmızı,605500,Antalya Manavgat
Giulietta,1.6 JTD Giulietta,2020,74000,Beyaz,735000,Mersin Akdeniz
156,1.6 TS,2001,252000,Siyah,198000,Antalya Kepez
146,1.6 L,1996,262500,Kırmızı,130000,Aydın Efeler
159,1.9 JTD Distinctive,2008,256000,Siyah,395000,Artvin Borçka
156,1.6 TS Distinctive,2004,228500,Füme,282500,İstanbul Kartal
147,1.9 JTD Q2,2003,276000,Yeşil,290000,İzmir Kemalpaşa
159,1.9 JTD Distinctive,2006,260000,Siyah,360000,Antalya Muratpaşa
156,2.0 TS,1998,513000,Siyah,155000,İstanbul Esenyurt
Giulietta,1.6 JTD Giulietta,2020,31186,Gri,798500,İstanbul Maltepe
Giulietta,1.6 JTD Distinctive,2014,100000,Beyaz,525000,İstanbul Küçükçekmece
156,1.6 TS Distinctive,2006,206000,Gri,240000,Hatay Yayladağı
159,1.9 JTD Distinctive Plus,2007,278000,Siyah,500000,Kars Merkez
Giulietta,1.6 JTD Distinctive,2014,147000,Siyah,447000,Antalya Kemer
156,2.0 TS,2000,306000,Gümüş Gri,230000,Bursa Osmangazi
156,1.6 TS Distinctive,2004,240000,Lacivert,224750,İstanbul Bağcılar
147,1.6 TS Progression,2004,210000,Gümüş Gri,223000,Diyarbakır Yenişehir
156,2.0 TS Selespeed,2001,240000,Gümüş Gri,223000,İstanbul Kartal
GT,2.0 JTS Distinctive,2006,167000,Lacivert,305000,İstanbul Zeytinburnu
156,2.0 TS Selespeed,2001,304000,Gümüş Gri,180000,Erzurum Palandöken
GT,2.0 JTS Dis.Selespeed,2008,211000,Kırmızı,319900,İstanbul Ümraniye
Giulietta,1.4 TB Progression Plus,2012,217500,Beyaz,410000,Mersin Mezitli
Giulietta,1.6 JTD Giulietta,2020,65000,Siyah,759000,İstanbul Üsküdar
Giulietta,1.6 JTD Progression,2016,129782,Beyaz,630500,İstanbul Kartal
MiTo,1.4 T Distinctive,2010,147000,Beyaz,395000,İstanbul Maltepe
Giulietta,1.6 JTD Distinctive,2014,100000,Siyah,525000,İstanbul Şişli
156,1.6 TS Distinctive,2004,380000,Siyah,210000,Kayseri Kocasinan
Giulietta,1.6 JTD Progression,2018,82500,Gri,599000,İstanbul Üsküdar
159,1.9 JTD Distinctive,2008,317750,Siyah,349500,Antalya Alanya
Giulietta,1.6 JTD Distinctive,2013,98550,Beyaz,519000,İstanbul Sarıyer
Giulietta,1.6 JTD Progression Plus,2012,300000,Kırmızı,425000,Gaziantep İslahiye
Giulietta,1.6 JTD Distinctive,2013,176000,Beyaz,374900,Kayseri Kocasinan
159,1.9 JTD Distinctive,2007,313000,Siyah,330000,İstanbul Eyüpsultan
145,1.7,1995,111111,Yeşil,95000,İstanbul Küçükçekmece
147,1.6 TS Progression,2005,210000,Siyah,219500,Ankara Etimesgut
145,1.6 L,1996,209000,Lacivert,127000,İzmir Çiğli
MiTo,1.4 T MultiAir Quadrifoglio Verde,2011,105000,Beyaz,420000,İstanbul Beylikdüzü
Giulietta,1.4 TB MultiAir Distinctive,2011,195000,Kırmızı,473500,Kayseri Kocasinan
Giulia Quadrifoglio,2.9,2017,6859,Kırmızı,5400000,İstanbul Maltepe
159,1.9 JTD Distinctive Plus,2007,292000,Siyah,325000,Bursa Osmangazi
Giulietta,1.6 JTD Progression,2016,106000,Beyaz,635000,Ankara Yenimahalle
